Station	Instrument	Longitude(DecDeg)	Latitude(DecDeg)	Time(ISO8601)	Depth(m)
FB-drifter_021_066	IgotU#9999	-55.389760	47.507900	2011-07-04T22:10:00	  1.
FB-drifter_021_066	IgotU#9999	-55.390400	47.508120	2011-07-04T22:35:00	  1.
FB-drifter_021_066	IgotU#9999	-55.390520	47.508120	2011-07-04T22:39:00	  1.
FB-drifter_021_066	IgotU#9999	-55.390630	47.508160	2011-07-04T22:43:00	  1.
FB-drifter_021_066	IgotU#9999	-55.390790	47.508180	2011-07-04T22:47:00	  1.
FB-drifter_021_066	IgotU#9999	-55.391080	47.508240	2011-07-04T22:52:00	  1.
FB-drifter_021_066	IgotU#9999	-55.391510	47.508580	2011-07-04T23:08:00	  1.
FB-drifter_021_066	IgotU#9999	-55.391720	47.508650	2011-07-04T23:12:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392160	47.509400	2011-07-04T23:29:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392300	47.509630	2011-07-04T23:34:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392430	47.510160	2011-07-04T23:42:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392640	47.510510	2011-07-04T23:46:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392750	47.510830	2011-07-04T23:50:00	  1.
FB-drifter_021_066	IgotU#9999	-55.392960	47.511230	2011-07-04T23:59:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393070	47.511520	2011-07-05T00:04:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393100	47.511920	2011-07-05T00:10:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393210	47.512310	2011-07-05T00:14:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393310	47.512790	2011-07-05T00:18:00	  1.
FB-drifter_021_066	IgotU#9999	-55.393200	47.512970	2011-07-05T00:22:00	  1.
